Tranche d'âge,quartiers,population_count,arrondissements,secteur
3-5 ans,LES CAMOINS,136,11EME ARRONDISSEMENT,6EME SECTEUR
6-10 ans,LES CAMOINS,290,11EME ARRONDISSEMENT,6EME SECTEUR
11-17 ans,LES CAMOINS,503,11EME ARRONDISSEMENT,6EME SECTEUR
18-24 ans,LES CAMOINS,305,11EME ARRONDISSEMENT,6EME SECTEUR
25-39 ans,LES CAMOINS,782,11EME ARRONDISSEMENT,6EME SECTEUR
40-54 ans,LES CAMOINS,1234,11EME ARRONDISSEMENT,6EME SECTEUR
55-64 ans,LES CAMOINS,828,11EME ARRONDISSEMENT,6EME SECTEUR
65-79 ans,LES CAMOINS,830,11EME ARRONDISSEMENT,6EME SECTEUR
80 ans ou plus,LES CAMOINS,342,11EME ARRONDISSEMENT,6EME SECTEUR
0-2 ans,ÉOURES,21,11EME ARRONDISSEMENT,6EME SECTEUR
3-5 ans,ÉOURES,67,11EME ARRONDISSEMENT,6EME SECTEUR
6-10 ans,ÉOURES,100,11EME ARRONDISSEMENT,6EME SECTEUR
11-17 ans,ÉOURES,160,11EME ARRONDISSEMENT,6EME SECTEUR
18-24 ans,ÉOURES,115,11EME ARRONDISSEMENT,6EME SECTEUR
25-39 ans,ÉOURES,281,11EME ARRONDISSEMENT,6EME SECTEUR
40-54 ans,ÉOURES,341,11EME ARRONDISSEMENT,6EME SECTEUR
55-64 ans,ÉOURES,225,11EME ARRONDISSEMENT,6EME SECTEUR
65-79 ans,ÉOURES,224,11EME ARRONDISSEMENT,6EME SECTEUR
80 ans ou plus,ÉOURES,80,11EME ARRONDISSEMENT,6EME SECTEUR
0-2 ans,LA MILLIÈRE,100,11EME ARRONDISSEMENT,6EME SECTEUR
3-5 ans,LA MILLIÈRE,111,11EME ARRONDISSEMENT,6EME SECTEUR
6-10 ans,LA MILLIÈRE,208,11EME ARRONDISSEMENT,6EME SECTEUR
11-17 ans,LA MILLIÈRE,357,11EME ARRONDISSEMENT,6EME SECTEUR
18-24 ans,LA MILLIÈRE,212,11EME ARRONDISSEMENT,6EME SECTEUR
25-39 ans,LA MILLIÈRE,514,11EME ARRONDISSEMENT,6EME SECTEUR
40-54 ans,LA MILLIÈRE,534,11EME ARRONDISSEMENT,6EME SECTEUR
55-64 ans,LA MILLIÈRE,391,11EME ARRONDISSEMENT,6EME SECTEUR
65-79 ans,LA MILLIÈRE,380,11EME ARRONDISSEMENT,6EME SECTEUR
80 ans ou plus,LA MILLIÈRE,186,11EME ARRONDISSEMENT,6EME SECTEUR
0-2 ans,LA POMME,793,11EME ARRONDISSEMENT,6EME SECTEUR
3-5 ans,LA POMME,743,11EME ARRONDISSEMENT,6EME SECTEUR
6-10 ans,LA POMME,1274,11EME ARRONDISSEMENT,6EME SECTEUR
11-17 ans,LA POMME,1834,11EME ARRONDISSEMENT,6EME SECTEUR
18-24 ans,LA POMME,1527,11EME ARRONDISSEMENT,6EME SECTEUR
25-39 ans,LA POMME,3895,11EME ARRONDISSEMENT,6EME SECTEUR
40-54 ans,LA POMME,3935,11EME ARRONDISSEMENT,6EME SECTEUR
55-64 ans,LA POMME,2237,11EME ARRONDISSEMENT,6EME SECTEUR
65-79 ans,LA POMME,2441,11EME ARRONDISSEMENT,6EME SECTEUR
80 ans ou plus,LA POMME,1036,11EME ARRONDISSEMENT,6EME SECTEUR
0-2 ans,SAINT MARCEL,295,11EME ARRONDISSEMENT,6EME SECTEUR
3-5 ans,SAINT MARCEL,371,11EME ARRONDISSEMENT,6EME SECTEUR
6-10 ans,SAINT MARCEL,680,11EME ARRONDISSEMENT,6EME SECTEUR
11-17 ans,SAINT MARCEL,951,11EME ARRONDISSEMENT,6EME SECTEUR
18-24 ans,SAINT MARCEL,623,11EME ARRONDISSEMENT,6EME SECTEUR
25-39 ans,SAINT MARCEL,1536,11EME ARRONDISSEMENT,6EME SECTEUR
40-54 ans,SAINT MARCEL,2124,11EME ARRONDISSEMENT,6EME SECTEUR
55-64 ans,SAINT MARCEL,1315,11EME ARRONDISSEMENT,6EME SECTEUR
65-79 ans,SAINT MARCEL,1651,11EME ARRONDISSEMENT,6EME SECTEUR
80 ans ou plus,SAINT MARCEL,478,11EME ARRONDISSEMENT,6EME SECTEUR
0-2 ans,SAINT MENET,181,11EME ARRONDISSEMENT,6EME SECTEUR
3-5 ans,SAINT MENET,98,11EME ARRONDISSEMENT,6EME SECTEUR
6-10 ans,SAINT MENET,146,11EME ARRONDISSEMENT,6EME SECTEUR
11-17 ans,SAINT MENET,281,11EME ARRONDISSEMENT,6EME SECTEUR
18-24 ans,SAINT MENET,174,11EME ARRONDISSEMENT,6EME SECTEUR
25-39 ans,SAINT MENET,661,11EME ARRONDISSEMENT,6EME SECTEUR
40-54 ans,SAINT MENET,601,11EME ARRONDISSEMENT,6EME SECTEUR
55-64 ans,SAINT MENET,348,11EME ARRONDISSEMENT,6EME SECTEUR
65-79 ans,SAINT MENET,372,11EME ARRONDISSEMENT,6EME SECTEUR
80 ans ou plus,SAINT MENET,87,11EME ARRONDISSEMENT,6EME SECTEUR
0-2 ans,LA TREILLE,19,11EME ARRONDISSEMENT,6EME SECTEUR
3-5 ans,LA TREILLE,23,11EME ARRONDISSEMENT,6EME SECTEUR
6-10 ans,LA TREILLE,79,11EME ARRONDISSEMENT,6EME SECTEUR
11-17 ans,LA TREILLE,87,11EME ARRONDISSEMENT,6EME SECTEUR
18-24 ans,LA TREILLE,65,11EME ARRONDISSEMENT,6EME SECTEUR
25-39 ans,LA TREILLE,146,11EME ARRONDISSEMENT,6EME SECTEUR
40-54 ans,LA TREILLE,238,11EME ARRONDISSEMENT,6EME SECTEUR
55-64 ans,LA TREILLE,151,11EME ARRONDISSEMENT,6EME SECTEUR
65-79 ans,LA TREILLE,123,11EME ARRONDISSEMENT,6EME SECTEUR
80 ans ou plus,LA TREILLE,29,11EME ARRONDISSEMENT,6EME SECTEUR
0-2 ans,LA VALENTINE,289,11EME ARRONDISSEMENT,6EME SECTEUR
3-5 ans,LA VALENTINE,308,11EME ARRONDISSEMENT,6EME SECTEUR
6-10 ans,LA VALENTINE,512,11EME ARRONDISSEMENT,6EME SECTEUR
11-17 ans,LA VALENTINE,833,11EME ARRONDISSEMENT,6EME SECTEUR
18-24 ans,LA VALENTINE,767,11EME ARRONDISSEMENT,6EME SECTEUR
25-39 ans,LA VALENTINE,1735,11EME ARRONDISSEMENT,6EME SECTEUR
40-54 ans,LA VALENTINE,1703,11EME ARRONDISSEMENT,6EME SECTEUR
55-64 ans,LA VALENTINE,1297,11EME ARRONDISSEMENT,6EME SECTEUR
65-79 ans,LA VALENTINE,1270,11EME ARRONDISSEMENT,6EME SECTEUR
80 ans ou plus,LA VALENTINE,519,11EME ARRONDISSEMENT,6EME SECTEUR
0-2 ans,LA VALBARELLE,71,11EME ARRONDISSEMENT,6EME SECTEUR
3-5 ans,LA VALBARELLE,74,11EME ARRONDISSEMENT,6EME SECTEUR
6-10 ans,LA VALBARELLE,174,11EME ARRONDISSEMENT,6EME SECTEUR
11-17 ans,LA VALBARELLE,277,11EME ARRONDISSEMENT,6EME SECTEUR
18-24 ans,LA VALBARELLE,239,11EME ARRONDISSEMENT,6EME SECTEUR
25-39 ans,LA VALBARELLE,502,11EME ARRONDISSEMENT,6EME SECTEUR
40-54 ans,LA VALBARELLE,726,11EME ARRONDISSEMENT,6EME SECTEUR
55-64 ans,LA VALBARELLE,504,11EME ARRONDISSEMENT,6EME SECTEUR
65-79 ans,LA VALBARELLE,465,11EME ARRONDISSEMENT,6EME SECTEUR
80 ans ou plus,LA VALBARELLE,211,11EME ARRONDISSEMENT,6EME SECTEUR
0-2 ans,LES CAILLOLS,404,12ÈME ARRONDISSEMENT,6EME SECTEUR
3-5 ans,LES CAILLOLS,354,12ÈME ARRONDISSEMENT,6EME SECTEUR
6-10 ans,LES CAILLOLS,643,12ÈME ARRONDISSEMENT,6EME SECTEUR
11-17 ans,LES CAILLOLS,837,12ÈME ARRONDISSEMENT,6EME SECTEUR
18-24 ans,LES CAILLOLS,709,12ÈME ARRONDISSEMENT,6EME SECTEUR
25-39 ans,LES CAILLOLS,2092,12ÈME ARRONDISSEMENT,6EME SECTEUR
40-54 ans,LES CAILLOLS,2060,12ÈME ARRONDISSEMENT,6EME SECTEUR
55-64 ans,LES CAILLOLS,1294,12ÈME ARRONDISSEMENT,6EME SECTEUR
65-79 ans,LES CAILLOLS,1739,12ÈME ARRONDISSEMENT,6EME SECTEUR
80 ans ou plus,LES CAILLOLS,762,12ÈME ARRONDISSEMENT,6EME SECTEUR
0-2 ans,LA FOURRAGÈRE,280,12ÈME ARRONDISSEMENT,6EME SECTEUR
3-5 ans,LA FOURRAGÈRE,267,12ÈME ARRONDISSEMENT,6EME SECTEUR
6-10 ans,LA FOURRAGÈRE,422,12ÈME ARRONDISSEMENT,6EME SECTEUR
11-17 ans,LA FOURRAGÈRE,590,12ÈME ARRONDISSEMENT,6EME SECTEUR
18-24 ans,LA FOURRAGÈRE,530,12ÈME ARRONDISSEMENT,6EME SECTEUR
25-39 ans,LA FOURRAGÈRE,1429,12ÈME ARRONDISSEMENT,6EME SECTEUR
40-54 ans,LA FOURRAGÈRE,1593,12ÈME ARRONDISSEMENT,6EME SECTEUR
55-64 ans,LA FOURRAGÈRE,994,12ÈME ARRONDISSEMENT,6EME SECTEUR
65-79 ans,LA FOURRAGÈRE,1317,12ÈME ARRONDISSEMENT,6EME SECTEUR
80 ans ou plus,LA FOURRAGÈRE,647,12ÈME ARRONDISSEMENT,6EME SECTEUR
0-2 ans,MONTOLIVET,346,12ÈME ARRONDISSEMENT,6EME SECTEUR
3-5 ans,MONTOLIVET,422,12ÈME ARRONDISSEMENT,6EME SECTEUR
6-10 ans,MONTOLIVET,672,12ÈME ARRONDISSEMENT,6EME SECTEUR
11-17 ans,MONTOLIVET,980,12ÈME ARRONDISSEMENT,6EME SECTEUR
18-24 ans,MONTOLIVET,820,12ÈME ARRONDISSEMENT,6EME SECTEUR
25-39 ans,MONTOLIVET,1951,12ÈME ARRONDISSEMENT,6EME SECTEUR
40-54 ans,MONTOLIVET,2401,12ÈME ARRONDISSEMENT,6EME SECTEUR
55-64 ans,MONTOLIVET,1555,12ÈME ARRONDISSEMENT,6EME SECTEUR
65-79 ans,MONTOLIVET,2017,12ÈME ARRONDISSEMENT,6EME SECTEUR
80 ans ou plus,MONTOLIVET,1323,12ÈME ARRONDISSEMENT,6EME SECTEUR
0-2 ans,SAINT BARNABÉ,321,12ÈME ARRONDISSEMENT,6EME SECTEUR
3-5 ans,SAINT BARNABÉ,359,12ÈME ARRONDISSEMENT,6EME SECTEUR
6-10 ans,SAINT BARNABÉ,575,12ÈME ARRONDISSEMENT,6EME SECTEUR
11-17 ans,SAINT BARNABÉ,969,12ÈME ARRONDISSEMENT,6EME SECTEUR
18-24 ans,SAINT BARNABÉ,822,12ÈME ARRONDISSEMENT,6EME SECTEUR
25-39 ans,SAINT BARNABÉ,1818,12ÈME ARRONDISSEMENT,6EME SECTEUR
40-54 ans,SAINT BARNABÉ,2331,12ÈME ARRONDISSEMENT,6EME SECTEUR
55-64 ans,SAINT BARNABÉ,1486,12ÈME ARRONDISSEMENT,6EME SECTEUR
65-79 ans,SAINT BARNABÉ,2045,12ÈME ARRONDISSEMENT,6EME SECTEUR
80 ans ou plus,SAINT BARNABÉ,1277,12ÈME ARRONDISSEMENT,6EME SECTEUR
0-2 ans,SAINT JEAN DU DÉSERT,131,12ÈME ARRONDISSEMENT,6EME SECTEUR
3-5 ans,SAINT JEAN DU DÉSERT,161,12ÈME ARRONDISSEMENT,6EME SECTEUR
6-10 ans,SAINT JEAN DU DÉSERT,267,12ÈME ARRONDISSEMENT,6EME SECTEUR
